,_step,global_step,eval/rollout/episode_length,eval/rollout/episode_return,eval/grid/mean_td_error,eval/barrier/coverage,eval/barrier/validity_alpha_0.9,eval/constrain/mean_episode_length,run_id,exp_name,seed
69,74162,710000.0,500.0,500.0,0.6591026782989502,0.05689999833703041,0.9922000169754028,10.600000381469727,bfvarbwb,bump_supervised_base_2M,5
70,75162,720000.0,500.0,500.0,0.6457756757736206,0.056699998676776886,0.9921000003814697,10.800000190734863,bfvarbwb,bump_supervised_base_2M,5
71,76162,730000.0,500.0,500.0,0.6157751679420471,0.05959999933838844,0.9925000071525574,19.899999618530273,bfvarbwb,bump_supervised_base_2M,5
72,77162,740000.0,500.0,500.0,0.5822228789329529,0.059700001031160355,0.9911999702453613,10.5,bfvarbwb,bump_supervised_base_2M,5
73,78162,750000.0,500.0,500.0,0.654254138469696,0.05220000073313713,0.9911999702453613,10.5,bfvarbwb,bump_supervised_base_2M,5
74,79162,760000.0,500.0,500.0,0.6442592740058899,0.05249999836087227,0.9919999837875366,10.300000190734863,bfvarbwb,bump_supervised_base_2M,5
75,80162,770000.0,500.0,500.0,0.5839844942092896,0.05510000139474869,0.9921000003814697,10.399999618530273,bfvarbwb,bump_supervised_base_2M,5
76,81162,780000.0,500.0,500.0,0.6135159730911255,0.05609999969601631,0.9901000261306763,19.600000381469727,bfvarbwb,bump_supervised_base_2M,5
77,82170,790000.0,500.0,500.0,0.6698528528213501,0.06509999930858612,0.9930999875068665,21.0,bfvarbwb,bump_supervised_base_2M,5
78,83190,800000.0,500.0,500.0,0.5963960886001587,0.06809999793767929,0.9954000115394592,11.0,bfvarbwb,bump_supervised_base_2M,5
79,84210,810000.0,500.0,500.0,0.6754727363586426,0.06880000233650208,0.9945999979972839,105.0999984741211,bfvarbwb,bump_supervised_base_2M,5
80,85230,820000.0,500.0,500.0,0.6476146578788757,0.06390000134706497,0.9937000274658203,68.4000015258789,bfvarbwb,bump_supervised_base_2M,5
81,86250,830000.0,500.0,500.0,0.6171793937683105,0.05719999969005585,0.9932000041007996,72.19999694824219,bfvarbwb,bump_supervised_base_2M,5
82,87270,840000.0,500.0,500.0,0.612880527973175,0.05889999866485596,0.9934999942779541,51.79999923706055,bfvarbwb,bump_supervised_base_2M,5
